,original,prediction
31344,1381.0,1115.0
31345,1978.0,2225.0
31346,4892.0,8539.5
31347,9784.0,12948.0
31348,3194.0,3849.0
31349,2009.0,2132.0
31350,6790.0,7131.5
31351,1438.0,1853.5
31352,3118.0,1710.5
31353,4373.0,3556.0
31354,14678.0,19176.0
31355,2945.0,3043.0
31356,1710.0,2581.0
31357,9125.0,11484.0
31358,38800.0,62785.0
31359,1728.0,1241.0
31360,2573.0,2117.0
31361,1023.0,1301.0
31362,1835.0,1759.0
31363,1188.0,2099.5
31364,29527.0,36154.5
31365,4403.0,3242.5
31366,4678.0,5587.5
31367,1365.0,4034.5
31368,5312.0,4761.0
31369,4014.0,5345.5
31370,5723.0,4812.0
31371,20593.0,27588.5
31372,1706.0,3657.0
31373,3924.0,2207.0
31374,97836.0,126391.0
31375,3206.0,6971.5
31376,4502.0,4229.0
31377,2884.0,4924.0
31378,1176.0,1862.0
31379,4382.0,4492.0
31380,2567.0,1375.0
31381,4357.0,6732.0
31382,1608.0,1202.0
31383,4291.0,1650.0
31384,6048.0,6505.0
31385,1912.0,1598.0
31386,9232.0,7953.0
31387,1830.0,1521.0
31388,2822.0,2321.0
31389,1287.0,1632.6666666666667
31390,2354.0,2726.0
31391,1177.0,1596.0
31392,7172.0,10681.0
31393,12582.0,14797.0
31394,4066.0,6734.0
31395,9339.0,12425.0
31396,4197.0,7040.0
31397,101448.0,126477.0
31398,12811.0,16984.0
31399,14259.0,13736.0
31400,1500.0,1806.0
31401,52295.0,105965.0
31402,2852.0,2156.0
31403,1743.0,1379.0
31404,2047.0,3064.0
31405,1513.0,1017.0
31406,3570.0,3219.0
31407,7322.0,9852.0
31408,20761.0,1431.0
31409,3155.0,5507.0
31410,3116.0,1908.0
31411,7140.0,1156.0
31412,5786.0,1156.0
31413,1758.0,1102.0
31414,15229.0,3505.0
31415,5981.0,2720.0
31416,1529.0,3255.0
31417,1609.0,1102.0
31418,5692.0,2422.0
31419,1863.0,3668.0
31420,2759.0,3733.0
31421,14408.0,6662.0
31422,16685.0,3827.0
31423,178891.0,18837.0
31424,3643.0,1066.0
31425,111923.0,18134.0
31426,20157.0,4324.0
31427,1465.0,1028.0
31428,2132.0,1484.0
31429,1063.0,1099.0
31430,2791.0,2344.0
31431,20488.0,1131.0
31432,1396.0,1072.0
31433,1702.0,1028.0
31434,15167.0,2803.0
31435,16477.0,2330.0
31436,11179.0,1220.0
31437,12258.0,3432.0
31438,14107.0,1340.0
31439,1244.0,1099.0
31440,2459.0,2802.0
31441,1033.0,1848.0
31442,1126.0,1075.0
31443,9711.0,8394.0
31444,1868.0,1795.0
31445,3463.0,3627.0
31446,1086.0,1073.0
31447,3478.0,1724.5
31448,8576.0,5633.0
31449,9888.0,5982.666666666667
31450,7849.0,6302.0
31451,80090.0,37985.5
31452,1994.0,1408.0
31453,2259.0,2415.0
31454,12448.0,13708.0
31455,3312.0,2307.5
31456,10037.0,11560.0
31457,2306.0,1377.0
31458,1333.0,1856.0
31459,1781.0,1418.0
31460,2754.0,1377.0
31461,3116.0,5457.0
31462,1275.0,1997.0
31463,2198.0,2006.3333333333333
31464,8969.0,7637.0
31465,3806.0,2427.0
31466,15767.0,10589.0
31467,9311.0,12813.333333333334
31468,2542.0,2434.0
31469,104904.0,42105.0
31470,11587.0,10046.0
31471,1351.0,4071.0
31472,9719.0,11640.0
31473,3551.0,2099.0
31474,3064.0,2131.5
31475,1425.0,1696.0
31476,4941.0,4365.0
31477,124397.0,82855.0
31478,2000.0,1174.0
31479,18581.0,8604.0
31480,10954.0,7669.5
31481,14227.0,12407.0
31482,1566.0,2897.0
31483,81291.0,76634.0
31484,9178.0,7284.0
31485,18699.0,15539.0
31486,5170.0,8349.0
31487,5439.0,2586.5
31488,17722.0,7815.333333333333
31489,1076.0,1696.0
31490,3637.0,3457.0
31491,1992.0,1924.0
